name,age,city
8U5okXkz,67.0,London
l5WzPTpj,40.0,NY
RxcDm4vY,48.0,Berlin
2nOyreVv,47.0,NY
FQ0ub2qJ,,Berlin
8cKvWB9h,,NY
3lcBGYQ6,24.0,London
TmA65MPh,33.0,Berlin
3FPuRIlP,43.0,LA
xUkJzZsn,65.0,NY
WLtBPFX7,,NY
TOrPMf7o,66.0,Berlin
tYjc9LVC,19.0,LA
2JSxyjQ3,18.0,LA
12WnXRCI,65.0,London
4hiCGItU,29.0,LA
BY3A4Bj1,22.0,LA
BU0rWEoB,54.0,LA
Sou3ejxj,,SF
nzuCdZyV,26.0,London
6b2JD6sy,,NY
3ZHTX3Eq,52.0,Berlin
EyPXS058,36.0,NY
H4KPfA1l,65.0,London
quCu2r6A,33.0,Berlin
ZDUd7ne7,20.0,London
cbp0MoDh,37.0,LA
6CpwL7SW,41.0,Berlin
ktJ5J4x6,50.0,LA
mKZpRsQX,41.0,NY
XJcHPeOa,69.0,NY
AEAw3Cjk,28.0,Berlin
GOM5WCZK,66.0,Berlin
tp5rBUJP,,London
uEuEvqrK,53.0,London
2IGlozIo,,LA
DSBbszpP,57.0,Berlin
wIv9IvCt,37.0,NY
oStU6QlT,52.0,London
rKVL8Zsw,65.0,London
sRhcds6N,42.0,NY
UgarDv7p,52.0,London
1heEJQjY,,LA
6fpIzKMW,46.0,Berlin
x4sKAJd7,35.0,NY
gVMqfoIj,63.0,Berlin
zQDcrr1e,,London
oqXKXmhn,,London
jqidXKZ5,52.0,NY
BDsyqHBL,33.0,LA
